STT	Từ vựng	Nghĩa
1	가게	Shop / Store
2	가격	Price
3	가구	Furniture
4	가방	Bag / Backpack
5	가수	Singer
6	가슴	Chest
7	가요	Popular song / Pop music
8	가운데	Middle / Center
9	가위	Scissors
10	가을	Autumn / Fall
11	가족	Family
12	가지	Kind / Type / Sort
13	간식	Snack
14	간장	Soy sauce
15	간호사	Nurse
16	갈비	Ribs
17	갈비탕	Galbitang (Short rib soup)
18	갈색	Brown
19	감	Sense / Feeling
20	감기	Cold / Flu
21	감동	Impression / Being moved
22	감자	Potato
23	값	Price / Value
24	강	River
25	강아지	Puppy
26	개	Item / Piece (counter)
27	개	Dog
28	개나리	Forsythia (Korean goldenbell)
29	개월	Month (counter for duration)
30	개인	Individual / Personal
31	거	Thing / Object
32	거리	Distance / Street
33	거실	Living room
34	거울	Mirror
35	거짓말	Lie / Untruth
36	건너편	Across / Opposite side
37	건물	Building
38	검은색	Black
39	것	Thing / Object
40	게임	Game
41	겨울	Winter
42	결과	Result / Outcome
43	결혼식	Wedding ceremony
44	경기	Match / Game / Competition
45	경기장	Stadium / Arena
46	경복궁	Gyeongbokgung Palace
47	경주	Gyeongju
48	경찰	Police
49	경찰관	Police officer
50	경찰서	Police station
