type,stt,category,ko,en
VOCAB,1,Area & Personnel,주방,Kitchen
VOCAB,2,Area & Personnel,홀,Dining Hall / Dining Area
VOCAB,3,Area & Personnel,카운터,Counter / Cashier Counter
VOCAB,4,Area & Personnel,세척실,Dishwashing Room
VOCAB,5,Area & Personnel,준비대,Prep Table
VOCAB,6,Area & Personnel,조리대,Cooking Counter / Kitchen Counter
VOCAB,7,Area & Personnel,배식대,Food Serving Counter
VOCAB,8,Area & Personnel,창고,Storage Room
VOCAB,9,Area & Personnel,냉장실,Cold Storage / Chilling Room
VOCAB,10,Area & Personnel,냉동실,Freezer Room / Freezer
VOCAB,11,Area & Personnel,출입구,Entrance / Exit
VOCAB,12,Area & Personnel,테이블,Table
VOCAB,13,Area & Personnel,화장실,Restroom
VOCAB,14,Area & Personnel,휴게실,Break Room
VOCAB,15,Area & Personnel,사장님,Owner / Boss
VOCAB,16,Area & Personnel,매니저,Manager
VOCAB,17,Area & Personnel,주방장,Head Chef
VOCAB,18,Area & Personnel,조리사,Cook / Chef
VOCAB,19,Area & Personnel,주방 보조,Kitchen Assistant
VOCAB,20,Area & Personnel,홀서빙,Server / Waitstaff
VOCAB,21,Area & Personnel,알바,Part-timer
VOCAB,22,Utensils & Equipment,식기,Tableware / Eating Utensils
VOCAB,23,Utensils & Equipment,그릇,Bowl
VOCAB,24,Utensils & Equipment,접시,Plate / Dish
VOCAB,25,Utensils & Equipment,밥그릇,Rice Bowl
VOCAB,26,Utensils & Equipment,국그릇,Soup Bowl
VOCAB,27,Utensils & Equipment,수저,Spoon and Chopsticks Set
VOCAB,28,Utensils & Equipment,숟가락,Spoon
VOCAB,29,Utensils & Equipment,젓가락,Chopsticks
VOCAB,30,Utensils & Equipment,포크,Fork
VOCAB,31,Utensils & Equipment,나이프,Knife
VOCAB,32,Utensils & Equipment,컵,Cup
VOCAB,33,Utensils & Equipment,쟁반,Tray
VOCAB,34,Utensils & Equipment,트레이,Serving Tray
VOCAB,35,Utensils & Equipment,뚜껑,Lid / Cap
VOCAB,36,Utensils & Equipment,냄비,Pot
VOCAB,37,Utensils & Equipment,프라이팬,Frying Pan
VOCAB,38,Utensils & Equipment,웍,Wok
VOCAB,39,Utensils & Equipment,국자,Ladle
VOCAB,40,Utensils & Equipment,뒤집개,Spatula / Turner
VOCAB,41,Utensils & Equipment,집게,Tongs
VOCAB,42,Utensils & Equipment,도마,Cutting Board
VOCAB,43,Utensils & Equipment,칼,Kitchen Knife
