STT	Từ vựng	Nghĩa
1	가게	Shop / Store
2	가격	Price
3	가구	Furniture
4	가방	Bag
5	가수	Singer
6	가슴	Chest / Breast
7	가요	Popular song / Folk song
8	가운데	Middle / Center
9	가위	Scissors
10	가을	Autumn / Fall
11	가족	Family
12	가지	Kind / Sort / Variety
13	간식	Snack
14	간장	Soy sauce
15	간호사	Nurse
16	갈비	Ribs
17	갈비탕	Short rib soup
18	갈색	Brown
19	감	Sense / Feeling
20	감기	Cold / Flu
21	감동	Emotion / Impression
22	감자	Potato
23	값	Price / Value
24	강	River
25	강아지	Puppy
26	개	Counter for items
27	개	Dog
28	개나리	Forsythia / Golden bell flower
29	개월	Month (count)
30	개인	Individual / Private
31	거	Thing / Object
32	거리	Distance / Street
33	거실	Living room
34	거울	Mirror
35	거짓말	Lie
36	건너편	Across / Opposite side
37	건물	Building
38	검은색	Black color
39	것	Thing
40	게임	Game
41	겨울	Winter
42	결과	Result / Outcome
43	결혼식	Wedding ceremony
44	경기	Match / Game
45	경기장	Stadium / Arena
46	경복궁	Gyeongbokgung Palace
47	경주	Gyeongju
48	경찰	Police
49	경찰관	Police officer
50	경찰서	Police station
51	것	Thing / Object
52	하다	To do
53	있다	To have / To exist
54	나	I / Me
55	없다	To not have / To not exist
56	사람	Person / Human
57	우리	We / Us / Our
58	아니다	To not be
59	보다	To see / To watch
60	같다	To be same / To be alike
61	거	That thing / That
62	주다	To give
63	대하다	To face / To treat
64	가다	To go
65	년	Year
66	나라	Country / Nation
67	나무	Tree / Wood
68	날	Day
69	날씨	Weather
70	남산	Namsan
71	내년	Next year
72	내용	Content
73	냉면	Cold noodles
74	냉장고	Refrigerator
75	노래	Song
76	누나	Older sister (for males)
77	눈물	Tears
78	느낌	Feeling / Impression
79	다음	Next
80	다음달	Next month
81	단어	Word / Vocabulary
82	달	Month / Moon
83	댁 	House (honorific)
84	도서관	Library
85	동생	Younger sibling
86	뒤	Behind / Back
87	드라마	Drama / TV show
88	등산화	Hiking boots
89	등산	Hiking / Mountain climbing
90	라디오	Radio
91	러시아	Russia
92	맞은편	Opposite side
93	머리	Head / Hair
94	모습	Appearance / Figure
95	모자	Hat / Cap
96	무게	Weight
97	문	Door
98	문구점	Stationery store
99	문제	Problem / Question
100	문화	Culture
101	물건	Item / Thing
102	미국	USA / America
103	밑	Under / Bottom
104	바지	Pants / Trousers
105	박물관	Museum
106	밖	Outside
107	반 	Class / Half
108	방	Room
109	방법	Method / Way
110	방송국	Broadcasting station
111	배	Stomach / Boat / Pear
112	배우	Actor / Actress
113	백화점	Department store
114	버스	Bus
115	번호	Number
116	병원	Hospital / Clinic
117	불펜	Ballpoint pen
118	봄	Spring
119	부모님	Parents
120	부분	Part / Portion
121	부탁	Request / Favor
122	분위기	Atmosphere / Mood
123	불고기	Bulgogi (Marinated beef)
124	비	Rain
125	비행기	Airplane
126	빵	Bread
127	화면	Screen / Display
128	구입하다	To purchase / To buy
129	굴리다	To roll / To roll over
130	감소	Decrease / Reduction
131	관람료	Admission fee / Ticket price
132	여가 활동	Leisure activities
133	연습실	Practice room
134	관리실	Management office
135	공사	Construction / Engineering
136	소음	Noise
137	집중이 안 되다	Cannot focus / Concentrate
138	시청자	Viewer / Audience
139	장면	Scene / Cut
140	A이/가 B에 어울리다	A suits B / A goes well with B
141	기대되다	To be expected / To look forward to
142	N에/에게 신경을 쓰다	To pay attention to N / To care about N
143	진료	Medical examination / Treatment
144	확인되다	To be confirmed
145	검사	Examination / Test / Inspection
146	탈의실	Dressing room / Fitting room
147	심다	To plant
148	화분	Flowerpot / Plant pot
149	베란다	Veranda / Balcony
150	N(으)로 옮기다	To move to N / To transfer to N
151	직원 연수	Employee training
152	확정되다	To be confirmed / To be finalized
153	특강	Special lecture
154	서두르다	To rush / To hurry
155	강사	Lecturer / Instructor
156	심리학 개론	Introduction to Psychology
157	수강 신청	Course registration
158	N에 만족하다	To be satisfied with N
159	주민	Resident / Inhabitant
160	N이/가 설치되다	N is installed / set up
161	노래자랑 대회	Singing contest
162	야시장	Night market
163	놀이터	Playground
164	정전	Power outage / Blackout
165	불편을 겪다	To experience inconvenience
166	차례	Turn / Order / Sequence
167	중단하다	To suspend / To discontinue
168	정밀 검사	Detailed inspection / Precise test
169	사고가 발생하다	An accident occurs
170	치료하다	To treat / To cure
171	병들다	To fall ill / To get sick
172	살피다	To examine / To look closely
173	조사하다	To investigate / To survey
174	주변 환경	Surrounding environment
175	N에 민감하다	To be sensitive to N
176	원인	Cause / Reason
177	개선하다	To improve / To enhance
178	처방하다	To prescribe
179	동작	Movement / Action
180	제대로	Properly / Correctly
181	꾸준히	Consistently / Steadily
182	따라 하다	To follow / To imitate
183	상관없다	To not matter / To be irrelevant
184	갈등	Conflict / Discord
185	분명하다	To be clear / Obvious
186	상대방	The other party / Counterpart
187	입장	Position / Stance
188	명함	Business card
189	특이하다	To be unique / Unusual
190	인상적이다	To be impressive
191	기업 행사	Corporate event
192	기획하다	To plan / To design
193	파악하다	To grasp / To understand
194	신제품	New product
195	홍보	Promotion / Publicity
196	연출하다	To direct / To produce
197	송년회	Year-end party
198	친목	Friendship / Fellowship
199	참고하다	To refer to / To consult
200	이용 후기	User review / Feedback
201	적극적	Active / Positive
202	남기다	To leave behind
203	우선이다	To be top priority
204	시험장	Test venue / Exam site
205	당일	The day of / On that day
206	지정하다	To designate / To specify
207	재발급	Reissuance
208	요청하다	To request / To demand
209	소방복	Firefighter gear / Firefighting suit
210	재활용	Recycling / Reuse
211	전공을 살려 V	Utilizing one's major to V
212	소재	Material / Subject matter
213	관심을 모으다	To draw / Gather interest
214	수익금	Proceeds / Earnings
215	계기가 되다	To serve as an opportunity
216	근무 환경	Working environment
217	희생정신	Spirit of sacrifice
218	본받다	To follow / To emulate
219	보장하다	To guarantee / To assure
220	육아 휴직	Parental leave
221	권장하다	To encourage / To recommend
222	시각	Perspective / Viewpoint
223	하긴 = 사실 말하자면	Actually / Come to think of it
224	일깨우다	To awaken / To enlighten
225	지적하다	To point out / To criticize
226	인식	Awareness / Perception
227	지급되다	To be paid / To be provided
228	시행	Enforcement / Implementation
229	구독	Subscription
230	이용료	Usage fee
231	해설	Commentary / Explanation
232	요약본	Summary / Executive summary
233	음성	Voice / Audio
234	전자책	E-book
235	개발하다	To develop
236	재학생	Current student
237	창업	Starting a business / Startup
238	사전 교육	Prior orientation / Orientation training
239	지원금	Subsidy / Support fund
240	이르다	To be early / To reach
241	부딪히다	To bump into / To collide
242	진정하다 = 올바르다	To be true / Proper / Right
243	연장하다	To extend / To renew
244	회의적	Skeptical / Doubtful
245	사례	Case / Example
246	염려하다	To worry / To be anxious
247	일부	Part / Portion
248	착륙하다	To land (aircraft)
249	지면	Ground / Land surface
250	마찰	Friction / ConflictSTT	Từ vựng	Nghĩa
251	워낙	So / Extremely / By nature
252	주입하다	To inject / To instill / To infuse
253	산소	Oxygen
254	유도하다	To induce / To lead / To guide
255	혼합되다	To be mixed / To be blended
256	질소	Nitrogen
257	표면	Surface
258	마찰열	Friction heat / Frictional heat
259	미끄러짐	Slipping / Skidding
260	최소화하다	To minimize
261	생성 원리	Principle of formation / Generation mechanism
262	(무늬를) 새기다	To engrave / To carve (a pattern)
263	아역 배우	Child actor / Child actress
264	특유	Characteristic / Unique / Peculiar
265	업적	Achievement / Accomplishment
266	지지	Support / Backing
267	활약하다	To play an active role / To be active
268	데뷔하다	To debut / To make a debut
269	국제 영화제	International film festival
270	교양 프로그램	Liberal arts program / Cultural program
271	충치	Tooth decay / Cavity
272	잇몸병	Gum disease / Periodontal disease
273	차지하다	To occupy / To take up / To account for
274	대수롭다	Important / Significant (usually used in negative context)
275	손상되다	To be damaged / To be impaired
276	회복되다	To recover / To be restored
277	신체 기관	Body organ / Body system
278	악영향을 끼치다	To have a bad effect / To exert a harmful influence
279	치매	Dementia
280	유발하다	To cause / To trigger / To induce
281	바로잡다	To correct / To rectify / To set right
282	절반	Half
283	추세	Trend / Tendency
284	[병]을 일으키다	To cause a [disease/illness]
285	질환	Disease / Disorder / Ailment
286	유출되다	To be leaked / To spill out
287	문화재	Cultural asset / Cultural heritage
288	본국	Home country / One's own country
289	국제 협약	International treaty / International agreement
290	1990년대 후반	Late 1990s
291	환수	Redemption / Return / Repatriation
292	공조	Collaboration / Cooperation
293	대여	Rental / Lease / Loan
294	기증	Donation / Contribution
295	영구적	Permanent / Everlasting
296	바람직하다	Desirable / Advisable / Right
297	일시적	Temporary / Transient
298	담화	Talk / Dialogue / Statement
299	민간 주도	Private sector-led / Citizen-led
300	협정을 체결하다	To sign an agreement / To conclude a pact
301	감칠맛	Savory taste / Umami
302	식욕을 당기게 하다	To whet the appetite / To stimulate appetite
303	관심을 쏟다	To devote attention to / To focus on
304	깊은맛	Deep flavor / Rich taste
305	유력하다	Promising / Leading / Strong
306	거론되다	To be mentioned / To be discussed
307	숙성	Aging / Maturation / Fermentation
308	기본양념	Basic seasoning / Basic condiments
309	우러나다	To brew / To steep / To emanate
310	결합하다	To combine / To unite / To bond
311	풍미	Flavor / Relish
312	조리	Cooking / Culinary preparation
313	꼬물꼬물	Wiggling / Squirming
314	헤엄을 치다	To swim
315	자궁	Womb / Uterus
316	탯줄	Umbilical cord
317	어미	Mother animal / Female parent
318	수정이 되지 않다	To be unfertilized / Not fertilized
319	무정란	Unfertilized egg
320	만반	All / Every / Thorough preparation
321	서식	Inhabitation / Habitat
322	유사하다	To be similar / To resemble
323	수분	Moisture / Water content
324	배출하다	To discharge / To excrete / To emit
325	발명되다	To be invented
326	음악계	Music circle / Music industry
327	환영을 받다	To be welcomed / To be well-received
328	주도하다	To lead / To spearhead / To dominate
329	오케스트라	Orchestra
330	편성	Arrangement / Organization / Composition
331	확립되다	To be established / To be settled
332	조화를 이루다	To achieve harmony / To harmonize
333	튀다	To stand out / To splash / To bounce
334	열풍이 불다	A craze blows / A fever surges
335	맞아떨어지다	To fit together / To coincide / To add up
336	관능적	Sensual / Voluptuous
337	호소력이 짙다	To have strong appeal / To be deeply touching
338	합주	Ensemble / Playing together
339	위상	Status / Position / Standing
340	대담	Talk / Conversation / Panel discussion
341	생소하다	Unfamiliar / Strange
342	조난	Distress / Shipwreck / Accident
343	부여하다	To grant / To assign / To bestow
344	표지판	Signboard / Traffic sign
345	신속하다	Prompt / Swift / Speedy
346	지방자치단체	Local government / Local autonomous entity
347	예산	Budget / Projected cost
348	밀접하다	Close / Intimate
349	원활하다	Smooth / Seamless
350	유보하다	To reserve / To defer / To postpone
351	협조를 당부하다	To request cooperation
352	시정하다	To correct / To rectify
353	촉구하다	To urge / To demand / To press for
354	반성문	Self-reflection letter / Written apology
355	소소하다	Trivial / Minor / Small
356	국정 업무	State affairs / Government affairs
357	신하	Vassal / Subject / Minister
358	상소 	Memorial to the throne / Petition
359	심경	State of mind / Feelings
360	세계정세	World situation / Global affairs
361	동서양의 사회	Eastern and Western societies
362	양상	Aspect / Appearance / Feature
363	상세히	In detail / Minutely
364	사료	Historical records / Historical documents
365	맹신	Blind faith / Blind belief
366	경계하다	To beware of / To guard against
367	훼손	Damage / Harm / Defacement
368	강구하다	To devise / To seek / To formulate
369	개방대학	Open university
370	고등학교	High school
371	공립학교	Public school
372	국립대학	National university
373	기숙학교	Boarding school
374	대학교	University / College
375	대학원	Graduate school
376	법대	Law school / College of Law
377	사립대학	Private university
378	사범대학	Teachers' college / College of Education
379	여대	Women's university
380	외대	University of foreign studies
381	유치원	Kindergarten
382	의대	Medical school / College of Medicine
383	전문대학	Junior college / Technical college
384	주간학교	Day school
385	중학교	Middle school / Junior high school
386	초등학교	Elementary school / Primary school
387	탁아소	Daycare center / Nursery
388	학교	School
389	학원	Academy / Private institute
390	강당	Auditorium / Lecture hall
391	교수 연구실	Professor's office / Faculty office
392	기숙사	Dormitory
393	농구 코트	Basketball court
394	도서관	Library
395	동아리 방	Club room
396	무용실	Dance studio / Dance room
397	미술실	Art room
398	사무실	Office
399	서점	Bookstore
400	세미나실	Seminar room
401	셔틀버스 승차장	Shuttle bus stop
402	수영장	Swimming pool
403	연구실 / 실험실	Research lab / Laboratory
404	야외 음악당	Outdoor music hall / Open-air theater
405	운동장	Playground / Sports field
406	음악실	Music room
407	체육관	Gymnasium / Gym
408	치료소	Infirmary / Clinic
409	탈의실	Locker room / Changing room
410	테니스 코트	Tennis court
411	학과 사무실	Department office
412	학생 상담소	Student counseling center
413	학생 식당	Student cafeteria
414	학생 회관	Student union / Student center
415	교수님	Professor
416	교장	Principal / Headmaster
417	대학생	University student / College student
418	동창	Alumnus / Classmate
419	박사	Doctorate / Ph.D.
420	반장	Class president / Monitor
421	사학년	Fourth year / Senior
422	삼학년	Third year / Junior
423	석사	Master's degree
424	선배	Senior / Senior colleague
425	선생님	Teacher
426	이학년	Second year / Sophomore
427	일학년	First year / Freshman
428	조장	Group leader / Team leader
429	학생	Student
430	후배	Junior / Junior colleague
431	건축	Architecture
432	공업	Industry / Industrial engineering
433	과목	Subject / Course
434	과학	Science
435	국어	National language / Korean language
436	기술	Technology / Engineering / Skill
437	농업	Agriculture
438	문화	Culture
439	물리학	Physics
440	미술	Fine arts / Art
441	부문 / 학과	Department / Division
442	사범	Education / Pedagogy
443	수학	Mathematics
444	심리학	Psychology
445	약학	Pharmacy / Pharmacology
446	언어	Language / Linguistics
447	역사	History
448	영어	English
449	지리학	Geography
450	화학	Chemistry
451	생물학	Biology
452	공책	Notebook
453	교복	School uniform
454	교실	Classroom
455	그림책	Picture book
456	볼펜	Ballpoint pen
457	색연필	Colored pencil
458	연필	Pencil
459	음악	Music
460	자	Ruler
461	책	Book
462	책가방	Backpack / School bag
463	책상	Desk
464	초크	Chalk
465	칠판	Blackboard / Chalkboard
466	컴퓨터	Computer
467	펜	Pen
468	필통	Pencil case
469	문방구	Stationery store
470	가르치다	To teach
471	강의하다	To lecture
472	겨울방학	Winter vacation
473	공부를 못 하다	To be poor at studying
474	공부를 잘 하다	To be good at studying
475	공부하다	To study
476	그만두다	To quit / To stop
477	기숙사비	Dormitory fee
478	단어	Word / Vocabulary
479	대문자	Capital letter / Uppercase
480	더하다	To add / To increase
481	독학하다	To self-study
482	등록금	Tuition fee
483	떨어지다	To fail (an exam) / To fall
484	마침표	Period / Full stop
485	문법	Grammar
486	문장	Sentence
487	배우다	To learn
488	불합격	Failure / Disqualification
489	빼다	To subtract / To remove
490	성적표	Report card / Transcript
491	수업	Class / Lesson
492	수업시간	Class time / Lesson hours
493	쉽다	To be easy
494	시간표	Timetable / Schedule
495	시험	Exam / Test
496	어렵다	To be difficult
497	여름방학	Summer vacation
498	연구하다	To research / To study
